,avg_7_mse,avg_mse,cols_drop,dropout,lag_size,n_drop
0,"[18.68900799 21.09485695 21.76632594 22.11814781 21.95893636 22.14604628
 22.40680755]",21.45430412683541,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,26,3
1,"[18.77229979 20.95441795 21.69354933 22.00907435 21.89117987 22.68784892
 23.07383002]",21.58317146190065,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,21,3
2,"[18.80299111 20.95242331 21.74905892 22.14299647 22.03965456 22.72546521
 23.13493917]",21.64964696662867,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,11,3
3,"[18.74007363 21.096034   21.8117713  22.24288821 22.01771326 22.5865239
 23.14372089]",21.662675026170355,['Sub_metering_3'],0.4,21,1
4,"[19.18571839 21.34366577 21.9613002  22.30159477 21.9203703  22.44031513
 22.75718096]",21.70144935916259,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,26,3
5,"[18.75961321 21.19962641 21.91815333 22.27046852 21.99031498 22.6033913
 23.21973567]",21.708757632557944,['Sub_metering_3'],0.1,21,1
6,"[18.88656021 20.9299475  21.84496895 22.33346497 22.13331314 22.76748647
 23.12143374]",21.716739283549064,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,16,3
7,"[18.84263975 21.05337996 21.87599745 22.29709691 22.0308421  22.68164733
 23.25065695]",21.718894351309533,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,11,3
8,"[19.06671617 21.30344647 22.14776157 22.64388092 22.09529053 22.29574709
 22.60569482]",21.736933936701913,['Sub_metering_3'],0.7000000000000001,26,1
9,"[18.86050009 21.10303171 21.70819266 22.35946918 22.30868051 22.72379516
 23.27611688]",21.762826599391442,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,21,3
10,"[19.08650186 21.53982921 22.27874507 22.6726694  22.08391833 22.27785068
 22.48483157]",21.77490658935937,['Sub_metering_3'],0.1,26,1
11,"[18.8758749  21.26155626 22.09008297 22.39092279 22.15434672 22.62325759
 23.1051869 ]",21.785889731945563,"['Sub_metering_2', 'Sub_metering_3']",0.1,21,2
12,"[19.07412932 21.44387083 22.21180867 22.66092547 22.15476339 22.3845313
 22.67899511]",21.801289156133436,['Sub_metering_3'],0.4,26,1
13,"[18.82520425 20.99653958 21.87074001 22.41769817 22.25500292 22.86682609
 23.43737245]",21.809911923767483,['Sub_metering_3'],0.7000000000000001,21,1
14,"[20.00397912 21.54904774 21.97279048 22.21603804 21.87716326 22.3061798
 22.82700484]",21.821743326786624,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.1,11,4
15,"[19.22652603 21.41785055 22.15372554 22.43471317 22.25031797 22.46731152
 22.83399046]",21.826347892138187,"['Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,26,3
16,"[18.84770575 21.25958343 22.01616866 22.39132884 22.22963914 22.74957624
 23.31767398]",21.83023943522295,"['Sub_metering_2', 'Sub_metering_3']",0.7000000000000001,21,2
17,"[19.01096804 21.516345   22.38461603 22.70723279 22.22299651 22.39218325
 22.73233195]",21.85238193954812,"['Sub_metering_2', 'Sub_metering_3']",0.1,26,2
18,"[19.78299373 21.63204655 21.9833155  22.44552153 21.91279553 22.44258042
 22.8523643 ]",21.864516795509125,"['Global_intensity', 'Sub_metering_1', 'Sub_metering_2', 'Sub_metering_3']",0.4,11,4
19,"[18.78460481 21.21345542 22.00391437 22.50867131 22.27926033 22.89388693
 23.42098159]",21.872110680759494,['Sub_metering_3'],0.4,16,1
20,"[18.9520907  21.48456262 22.32976116 22.53833862 22.03938649 22.70132334
 23.24114635]",21.898087039630337,"['Sub_metering_2', 'Sub_metering_3']",0.1,11,2
21,"[19.01414836 21.54624208 22.43802541 22.85138553 22.27928494 22.41562382
 22.77295365]",21.90252339729461,"['Sub_metering_2', 'Sub_metering_3']",0.4,26,2
